epoch;val_ids;proposal_size
0;Subj_14_91.png;[65536,0]
1;Subj_2_138.png;[65512,24]
2;Subj_9_80.png;[65536,0]
3;Subj_6_91.png;[65057,479]
4;Subj_10_88.png;[65536,0]
5;Subj_7_91.png;[64745,791]
6;Subj_7_90.png;[64766,770]
7;Subj_13_229.png;[65536,0]
8;Subj_2_228.png;[65467,69]
9;Subj_4_195.png;[65507,29]
10;Subj_8_114.png;[65536,0]
11;Subj_1_76.png;[65536,0]
12;Subj_2_164.png;[65536,0]
13;Subj_11_35.png;[65149,387]
14;Subj_11_151.png;[64978,558]
15;Subj_13_21.png;[65536,0]
16;Subj_9_124.png;[65535,1]
17;Subj_14_144.png;[65536,0]
18;Subj_12_201.png;[65536,0]
19;Subj_2_119.png;[64894,642]
20;Subj_2_239.png;[65536,0]
21;Subj_4_94.png;[65171,365]
22;Subj_11_31.png;[65268,268]
23;Subj_12_80.png;[65075,461]
24;Subj_1_100.png;[65535,1]
25;Subj_13_125.png;[65153,383]
26;Subj_12_173.png;[65303,233]
27;Subj_8_119.png;[65536,0]
28;Subj_10_215.png;[65536,0]
29;Subj_10_76.png;[65536,0]
30;Subj_9_170.png;[65536,0]
31;Subj_7_18.png;[65167,369]
32;Subj_14_36.png;[65531,5]
33;Subj_7_138.png;[65536,0]
34;Subj_4_112.png;[65353,183]
35;Subj_8_16.png;[65306,230]
36;Subj_11_170.png;[65507,29]
37;Subj_1_92.png;[65371,165]
38;Subj_11_207.png;[65532,4]
39;Subj_6_249.png;[65536,0]
40;Subj_2_71.png;[65536,0]
41;Subj_6_165.png;[65136,400]
42;Subj_9_233.png;[65536,0]
43;Subj_1_22.png;[65321,215]
44;Subj_7_227.png;[65511,25]
45;Subj_7_143.png;[65127,409]
46;Subj_6_199.png;[65337,199]
47;Subj_14_166.png;[65536,0]
48;Subj_10_228.png;[65536,0]
49;Subj_2_241.png;[65536,0]
50;Subj_2_83.png;[65360,176]
51;Subj_2_151.png;[64948,588]
52;Subj_2_255.png;[65536,0]
53;Subj_7_235.png;[65535,1]
54;Subj_8_37.png;[65439,97]
55;Subj_9_120.png;[65536,0]
56;Subj_2_76.png;[65536,0]
