val_ids;val_gt_size;dumbpredwtags;dumbprednotags;dumbpredselect
Subj_0_0.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_1.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_10.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_100.png;[65443,93];[64957, 579];[64957,579];[0,0]
Subj_0_101.png;[65534,2];[64957, 579];[64957,579];[64957,579]
Subj_0_102.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_103.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_104.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_105.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_106.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_107.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_108.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_109.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_11.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_110.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_111.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_112.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_113.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_114.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_115.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_116.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_117.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_118.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_119.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_12.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_120.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_121.png;[65335,201];[64957, 579];[64957,579];[64957,579]
Subj_0_122.png;[65150,386];[64957, 579];[64957,579];[64957,579]
Subj_0_123.png;[64958,578];[64957, 579];[64957,579];[64957,579]
Subj_0_124.png;[64922,614];[64957, 579];[64957,579];[64957,579]
Subj_0_125.png;[64920,616];[64957, 579];[64957,579];[64957,579]
Subj_0_126.png;[64933,603];[64957, 579];[64957,579];[64957,579]
Subj_0_127.png;[64974,562];[64957, 579];[64957,579];[64957,579]
Subj_0_128.png;[65038,498];[64957, 579];[64957,579];[64957,579]
Subj_0_129.png;[65174,362];[64957, 579];[64957,579];[64957,579]
Subj_0_13.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_130.png;[65444,92];[64957, 579];[64957,579];[64957,579]
Subj_0_131.png;[65534,2];[64957, 579];[64957,579];[0,0]
Subj_0_132.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_133.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_134.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_135.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_136.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_137.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_138.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_139.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_14.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_140.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_141.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_142.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_143.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_144.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_145.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_146.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_147.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_148.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_149.png;[65531,5];[64957, 579];[64957,579];[64957,579]
Subj_0_15.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_150.png;[65399,137];[64957, 579];[64957,579];[64957,579]
Subj_0_151.png;[65207,329];[64957, 579];[64957,579];[64957,579]
Subj_0_152.png;[65086,450];[64957, 579];[64957,579];[64957,579]
Subj_0_153.png;[65014,522];[64957, 579];[64957,579];[64957,579]
Subj_0_154.png;[65004,532];[64957, 579];[64957,579];[64957,579]
Subj_0_155.png;[65028,508];[64957, 579];[64957,579];[64957,579]
Subj_0_156.png;[65088,448];[64957, 579];[64957,579];[64957,579]
Subj_0_157.png;[65166,370];[64957, 579];[64957,579];[64957,579]
Subj_0_158.png;[65280,256];[64957, 579];[64957,579];[64957,579]
Subj_0_159.png;[65407,129];[64957, 579];[64957,579];[0,0]
Subj_0_16.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_160.png;[65490,46];[64957, 579];[64957,579];[0,0]
Subj_0_161.png;[65530,6];[64957, 579];[64957,579];[0,0]
Subj_0_162.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_163.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_164.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_165.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_166.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_167.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_168.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_169.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_17.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_170.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_171.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_172.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_173.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_174.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_175.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_176.png;[65523,13];[64957, 579];[64957,579];[64957,579]
Subj_0_177.png;[65489,47];[64957, 579];[64957,579];[64957,579]
Subj_0_178.png;[65332,204];[64957, 579];[64957,579];[64957,579]
Subj_0_179.png;[65220,316];[64957, 579];[64957,579];[64957,579]
Subj_0_18.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_180.png;[65160,376];[64957, 579];[64957,579];[64957,579]
Subj_0_181.png;[65132,404];[64957, 579];[64957,579];[64957,579]
Subj_0_182.png;[65147,389];[64957, 579];[64957,579];[64957,579]
Subj_0_183.png;[65200,336];[64957, 579];[64957,579];[64957,579]
Subj_0_184.png;[65289,247];[64957, 579];[64957,579];[0,0]
Subj_0_185.png;[65391,145];[64957, 579];[64957,579];[0,0]
Subj_0_186.png;[65463,73];[64957, 579];[64957,579];[64957,579]
Subj_0_187.png;[65524,12];[64957, 579];[64957,579];[65536,0]
Subj_0_188.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_189.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_19.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_190.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_191.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_192.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_193.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_194.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_195.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_196.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_197.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_198.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_199.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_2.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_20.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_200.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_201.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_202.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_203.png;[65490,46];[64957, 579];[64957,579];[0,0]
Subj_0_204.png;[65369,167];[64957, 579];[64957,579];[64957,579]
Subj_0_205.png;[65245,291];[64957, 579];[64957,579];[64957,579]
Subj_0_206.png;[65149,387];[64957, 579];[64957,579];[64957,579]
Subj_0_207.png;[65141,395];[64957, 579];[64957,579];[64957,579]
Subj_0_208.png;[65189,347];[64957, 579];[64957,579];[64957,579]
Subj_0_209.png;[65272,264];[64957, 579];[64957,579];[64957,579]
Subj_0_21.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_210.png;[65445,91];[64957, 579];[64957,579];[0,0]
Subj_0_211.png;[65526,10];[64957, 579];[64957,579];[0,0]
Subj_0_212.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_213.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_214.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_215.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_216.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_217.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_218.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_219.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_22.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_220.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_221.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_222.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_223.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_224.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_225.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_226.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_227.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_228.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_229.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_23.png;[65531,5];[64957, 579];[64957,579];[0,0]
Subj_0_230.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_231.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_232.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_233.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_234.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_235.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_236.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_237.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_238.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_239.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_24.png;[65516,20];[64957, 579];[64957,579];[0,0]
Subj_0_240.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_241.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_242.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_243.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_244.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_245.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_246.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_247.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_248.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_249.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_25.png;[65503,33];[64957, 579];[64957,579];[0,0]
Subj_0_250.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_251.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_252.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_253.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_254.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_255.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_26.png;[65482,54];[64957, 579];[64957,579];[0,0]
Subj_0_27.png;[65456,80];[64957, 579];[64957,579];[0,0]
Subj_0_28.png;[65431,105];[64957, 579];[64957,579];[64957,579]
Subj_0_29.png;[65403,133];[64957, 579];[64957,579];[0,0]
Subj_0_3.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_30.png;[65366,170];[64957, 579];[64957,579];[64957,579]
Subj_0_31.png;[65331,205];[64957, 579];[64957,579];[64957,579]
Subj_0_32.png;[65292,244];[64957, 579];[64957,579];[64957,579]
Subj_0_33.png;[65260,276];[64957, 579];[64957,579];[64957,579]
Subj_0_34.png;[65255,281];[64957, 579];[64957,579];[64957,579]
Subj_0_35.png;[65258,278];[64957, 579];[64957,579];[64957,579]
Subj_0_36.png;[65253,283];[64957, 579];[64957,579];[64957,579]
Subj_0_37.png;[65263,273];[64957, 579];[64957,579];[64957,579]
Subj_0_38.png;[65270,266];[64957, 579];[64957,579];[64957,579]
Subj_0_39.png;[65270,266];[64957, 579];[64957,579];[64957,579]
Subj_0_4.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_40.png;[65279,257];[64957, 579];[64957,579];[64957,579]
Subj_0_41.png;[65284,252];[64957, 579];[64957,579];[64957,579]
Subj_0_42.png;[65306,230];[64957, 579];[64957,579];[0,0]
Subj_0_43.png;[65345,191];[64957, 579];[64957,579];[0,0]
Subj_0_44.png;[65411,125];[64957, 579];[64957,579];[65536,0]
Subj_0_45.png;[65515,21];[64957, 579];[64957,579];[65536,0]
Subj_0_46.png;[65531,5];[64957, 579];[64957,579];[0,0]
Subj_0_47.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_48.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_49.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_5.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_50.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_51.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_52.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_53.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_54.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_55.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_56.png;[65533,3];[64957, 579];[64957,579];[0,0]
Subj_0_57.png;[65510,26];[64957, 579];[64957,579];[0,0]
Subj_0_58.png;[65452,84];[64957, 579];[64957,579];[0,0]
Subj_0_59.png;[65367,169];[64957, 579];[64957,579];[64957,579]
Subj_0_6.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_60.png;[65268,268];[64957, 579];[64957,579];[64957,579]
Subj_0_61.png;[65165,371];[64957, 579];[64957,579];[64957,579]
Subj_0_62.png;[65085,451];[64957, 579];[64957,579];[64957,579]
Subj_0_63.png;[65025,511];[64957, 579];[64957,579];[64957,579]
Subj_0_64.png;[64976,560];[64957, 579];[64957,579];[64957,579]
Subj_0_65.png;[64957,579];[64957, 579];[64957,579];[64957,579]
Subj_0_66.png;[64996,540];[64957, 579];[64957,579];[64957,579]
Subj_0_67.png;[65070,466];[64957, 579];[64957,579];[64957,579]
Subj_0_68.png;[65157,379];[64957, 579];[64957,579];[64957,579]
Subj_0_69.png;[65291,245];[64957, 579];[64957,579];[64957,579]
Subj_0_7.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_70.png;[65431,105];[64957, 579];[64957,579];[0,0]
Subj_0_71.png;[65531,5];[64957, 579];[64957,579];[64957,579]
Subj_0_72.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_73.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_74.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_75.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_76.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_77.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_78.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_79.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_8.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_80.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_81.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_82.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_83.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_84.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_85.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_86.png;[65536,0];[65536, 0];[64957,579];[65536,0]
Subj_0_87.png;[65536,0];[65536, 0];[64957,579];[0,0]
Subj_0_88.png;[65535,1];[64957, 579];[64957,579];[64957,579]
Subj_0_89.png;[65508,28];[64957, 579];[64957,579];[0,0]
Subj_0_9.png;[65536,0];[65536, 0];[64957,579];[64957,579]
Subj_0_90.png;[65318,218];[64957, 579];[64957,579];[0,0]
Subj_0_91.png;[65158,378];[64957, 579];[64957,579];[64957,579]
Subj_0_92.png;[65060,476];[64957, 579];[64957,579];[64957,579]
Subj_0_93.png;[64984,552];[64957, 579];[64957,579];[0,0]
Subj_0_94.png;[64946,590];[64957, 579];[64957,579];[64957,579]
Subj_0_95.png;[64939,597];[64957, 579];[64957,579];[64957,579]
Subj_0_96.png;[64945,591];[64957, 579];[64957,579];[64957,579]
Subj_0_97.png;[64979,557];[64957, 579];[64957,579];[64957,579]
