epoch;val_ids;proposal_size
0;ctslice5057_2.nii;[64846,75,0,615,0]
1;ctslice6862_1.nii;[60652,122,4762,0,0]
2;ctslice2428_2.nii;[64837,250,219,230,0]
3;ctslice4771_2.nii;[65536,0,0,0,0]
4;ctslice489_2.nii;[59816,1281,1442,2893,104]
5;ctslice572_1.nii;[65536,0,0,0,0]
6;ctslice6227_1.nii;[65447,0,89,0,0]
7;ctslice979_1.nii;[63801,1735,0,0,0]
8;ctslice4647_2.nii;[57979,1935,2397,3225,0]
9;ctslice3516_2.nii;[65536,0,0,0,0]
10;ctslice971_1.nii;[62821,2715,0,0,0]
11;ctslice7185_2.nii;[65536,0,0,0,0]
12;ctslice3267_2.nii;[63648,0,1888,0,0]
13;ctslice2223_1.nii;[61273,1709,0,2554,0]
14;ctslice8285_2.nii;[62069,103,2158,35,1171]
15;ctslice5619_3.nii;[65536,0,0,0,0]
16;ctslice2715_2.nii;[65135,0,401,0,0]
17;ctslice1974_3.nii;[65536,0,0,0,0]
18;ctslice6689_1.nii;[61034,2542,11,247,1702]
19;ctslice529_1.nii;[65536,0,0,0,0]
20;ctslice1125_2.nii;[65536,0,0,0,0]
21;ctslice1521_1.nii;[65536,0,0,0,0]
22;ctslice919_2.nii;[65449,87,0,0,0]
23;ctslice5961_2.nii;[65536,0,0,0,0]
24;ctslice1338_2.nii;[65536,0,0,0,0]
25;ctslice837_2.nii;[65536,0,0,0,0]
26;ctslice3333_1.nii;[65536,0,0,0,0]
27;ctslice8016_3.nii;[61473,790,3164,109,0]
28;ctslice3756_1.nii;[57551,2095,5081,798,11]
29;ctslice7086_3.nii;[65536,0,0,0,0]
30;ctslice8143_2.nii;[65536,0,0,0,0]
31;ctslice4455_1.nii;[64494,732,0,310,0]
32;ctslice3491_3.nii;[65536,0,0,0,0]
33;ctslice7656_2.nii;[65286,0,187,63,0]
34;ctslice2638_1.nii;[65536,0,0,0,0]
35;ctslice6155_2.nii;[65124,0,412,0,0]
36;ctslice1373_1.nii;[57443,1142,5240,1711,0]
37;ctslice3471_1.nii;[63538,0,1998,0,0]
38;ctslice3246_2.nii;[65536,0,0,0,0]
