epoch;val_ids;proposal_size
0;ctslice1088_2;[58747,2777,1752,2260,0]
1;ctslice2036_3;[65536,0,0,0,0]
2;ctslice1495_1;[64690,585,261,0,0]
3;ctslice5757_3;[65536,0,0,0,0]
4;ctslice6841_1;[65536,0,0,0,0]
5;ctslice7377_3;[65096,45,395,0,0]
6;ctslice2801_1;[57578,2756,2198,2777,227]
7;ctslice237_1;[65536,0,0,0,0]
8;ctslice2581_1;[62264,169,2843,255,5]
9;ctslice7047_2;[64659,0,877,0,0]
10;ctslice1267_1;[65023,473,0,40,0]
11;ctslice3789_3;[65536,0,0,0,0]
12;ctslice2629_1;[65536,0,0,0,0]
13;ctslice4717_3;[65532,0,0,0,4]
14;ctslice7874_1;[65536,0,0,0,0]
15;ctslice744_1;[60521,2875,353,1787,0]
16;ctslice3821_1;[55078,1549,5551,1597,1761]
17;ctslice6189_2;[65536,0,0,0,0]
18;ctslice1498_1;[57358,1659,866,2281,3372]
19;ctslice3692_2;[58591,1434,2062,3373,76]
20;ctslice1118_3;[54575,2725,2233,2341,3662]
21;ctslice3564_3;[65536,0,0,0,0]
22;ctslice5950_3;[62034,0,11,0,3491]
23;ctslice6057_2;[65536,0,0,0,0]
24;ctslice5751_2;[65211,113,131,81,0]
25;ctslice5817_3;[65529,0,0,7,0]
26;ctslice6947_2;[65536,0,0,0,0]
27;ctslice271_3;[57798,3200,1557,2981,0]
28;ctslice4055_2;[54647,2084,5974,2814,17]
29;ctslice5799_3;[65536,0,0,0,0]
30;ctslice7967_1;[65536,0,0,0,0]
31;ctslice6803_2;[65536,0,0,0,0]
32;ctslice4694_1;[55807,2209,2522,2322,2676]
33;ctslice2409_3;[62648,1233,278,0,1377]
34;ctslice1962_3;[65536,0,0,0,0]
35;ctslice381_3;[55032,1687,5553,3247,17]
36;ctslice6405_1;[65366,0,170,0,0]
37;ctslice6922_1;[65454,0,0,0,82]
38;ctslice2716_1;[65536,0,0,0,0]
39;ctslice3456_2;[65536,0,0,0,0]
40;ctslice5431_1;[65536,0,0,0,0]
41;ctslice7046_1;[58337,742,4165,2292,0]
42;ctslice1288_2;[65536,0,0,0,0]
43;ctslice5487_1;[65536,0,0,0,0]
44;ctslice3020_2;[63813,172,21,0,1530]
45;ctslice5749_2;[65536,0,0,0,0]
46;ctslice4379_2;[58336,2707,2972,1521,0]
47;ctslice1442_2;[58797,1219,5512,8,0]
48;ctslice7285_2;[65486,33,17,0,0]
49;ctslice1871_3;[65536,0,0,0,0]
50;ctslice8272_2;[57658,4000,1080,2798,0]
51;ctslice4817_2;[52982,3050,2239,3378,3887]
52;ctslice427_1;[65536,0,0,0,0]
53;ctslice955_3;[65536,0,0,0,0]
54;ctslice7961_3;[58762,1003,3001,2770,0]
55;ctslice5548_3;[65225,0,0,0,311]
56;ctslice72_2;[63727,70,1381,1,357]
57;ctslice7088_3;[65531,0,5,0,0]
58;ctslice832_1;[65536,0,0,0,0]
59;ctslice5002_2;[64948,385,203,0,0]
60;ctslice4231_3;[58912,2036,2479,2109,0]
61;ctslice2723_3;[65093,229,58,156,0]
62;ctslice73_1;[49771,3773,4162,5959,1871]
63;ctslice6330_2;[65536,0,0,0,0]
64;ctslice3954_2;[65536,0,0,0,0]
65;ctslice791_2;[64370,0,1166,0,0]
66;ctslice1288_1;[65536,0,0,0,0]
67;ctslice7603_1;[65536,0,0,0,0]
68;ctslice5787_3;[64135,1293,52,0,56]
69;ctslice3709_2;[63222,9,1257,121,927]
70;ctslice3970_1;[65509,0,27,0,0]
71;ctslice4664_1;[65536,0,0,0,0]
72;ctslice2346_1;[63434,136,1180,0,786]
73;ctslice675_2;[61511,1836,1103,1086,0]
74;ctslice2789_2;[57153,1431,2559,3819,574]
75;ctslice2919_1;[65536,0,0,0,0]
76;ctslice3123_3;[63422,0,2114,0,0]
77;ctslice3812_1;[65536,0,0,0,0]
78;ctslice6453_2;[65536,0,0,0,0]
79;ctslice6028_1;[55751,3827,2813,3145,0]
80;ctslice6926_1;[65535,0,0,0,1]
81;ctslice5241_3;[65532,4,0,0,0]
82;ctslice5539_1;[65536,0,0,0,0]
83;ctslice3799_3;[65065,0,471,0,0]
84;ctslice3233_3;[65073,249,134,80,0]
85;ctslice6339_2;[64091,7,1438,0,0]
86;ctslice4016_2;[65046,0,0,0,490]
87;ctslice402_2;[65193,343,0,0,0]
88;ctslice4791_1;[63371,719,1423,23,0]
89;ctslice3398_2;[56403,3165,2472,3496,0]
90;ctslice232_2;[61171,201,2566,43,1555]
91;ctslice589_2;[65536,0,0,0,0]
92;ctslice6750_3;[65523,0,0,0,13]
93;ctslice3045_3;[65536,0,0,0,0]
94;ctslice2906_1;[52281,3765,1654,3313,4523]
95;ctslice3288_3;[56745,2413,3719,2659,0]
96;ctslice1799_1;[65536,0,0,0,0]
97;ctslice8240_2;[65374,0,147,15,0]
98;ctslice742_2;[65536,0,0,0,0]
99;ctslice5179_3;[58787,930,427,2353,3039]
100;ctslice6563_1;[54721,2560,5211,3044,0]
101;ctslice5483_3;[65536,0,0,0,0]
102;ctslice5349_1;[65536,0,0,0,0]
103;ctslice6878_1;[65518,18,0,0,0]
104;ctslice8121_3;[65536,0,0,0,0]
105;ctslice4063_3;[65536,0,0,0,0]
106;ctslice877_2;[58453,475,6238,370,0]
107;ctslice7132_2;[62638,195,1839,0,864]
108;ctslice7069_3;[65536,0,0,0,0]
109;ctslice1386_2;[65536,0,0,0,0]
110;ctslice3402_2;[65534,0,2,0,0]
111;ctslice4665_2;[58783,2886,479,2786,602]
112;ctslice4083_1;[65536,0,0,0,0]
113;ctslice3236_3;[64013,711,796,15,1]
114;ctslice2612_1;[56298,2331,1449,2527,2931]
115;ctslice7266_1;[65536,0,0,0,0]
116;ctslice459_3;[65536,0,0,0,0]
117;ctslice5649_3;[65531,5,0,0,0]
118;ctslice4473_1;[65212,0,324,0,0]
119;ctslice2975_3;[65103,0,433,0,0]
120;ctslice717_2;[63112,4,2218,0,202]
121;ctslice6408_2;[47860,4802,2271,5539,5064]
122;ctslice30_2;[57510,2507,3097,2335,87]
123;ctslice5517_3;[65209,327,0,0,0]
124;ctslice2966_3;[65536,0,0,0,0]
125;ctslice1672_3;[54116,3492,4596,2245,1087]
126;ctslice5361_1;[59940,1223,1795,2578,0]
127;ctslice2230_1;[65536,0,0,0,0]
128;ctslice654_3;[65536,0,0,0,0]
129;ctslice7109_1;[49840,2837,3422,4768,4669]
130;ctslice48_3;[54557,1291,2571,3872,3245]
131;ctslice6370_1;[53747,2368,4539,3637,1245]
132;ctslice3829_2;[65536,0,0,0,0]
133;ctslice195_1;[59630,43,5105,0,758]
134;ctslice2308_2;[65536,0,0,0,0]
135;ctslice4785_2;[64909,444,183,0,0]
136;ctslice6831_3;[65536,0,0,0,0]
137;ctslice6582_3;[64649,175,671,21,20]
138;ctslice273_2;[65536,0,0,0,0]
139;ctslice5766_3;[65536,0,0,0,0]
140;ctslice461_1;[65536,0,0,0,0]
141;ctslice6699_3;[65536,0,0,0,0]
142;ctslice7667_1;[65536,0,0,0,0]
143;ctslice4990_2;[65536,0,0,0,0]
144;ctslice6084_1;[63265,0,1611,660,0]
145;ctslice1277_1;[65536,0,0,0,0]
146;ctslice7016_1;[63763,148,1620,5,0]
147;ctslice4855_2;[58350,1421,4824,382,559]
148;ctslice3924_2;[63065,41,274,0,2156]
149;ctslice2849_1;[65536,0,0,0,0]
150;ctslice1068_2;[55561,2673,3265,1635,2402]
151;ctslice2684_3;[65536,0,0,0,0]
152;ctslice7089_3;[65515,21,0,0,0]
153;ctslice2232_2;[55528,1618,6271,2119,0]
154;ctslice5238_3;[65467,15,14,40,0]
155;ctslice8256_2;[65515,0,21,0,0]
156;ctslice4062_3;[64873,34,629,0,0]
157;ctslice5570_1;[64957,174,405,0,0]
