val_ids;val_gt_size;dumbpredwtags;dumbprednotags;dumbpredselect;proposalselect
ctslice0_1.nii;[56696.0, 2661.0, 4193.0, 1986.0, 0.0];[51625, 4428, 4996, 4487, 0];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487, 0]
ctslice0_2.nii;[56696.0, 2661.0, 4193.0, 1986.0, 0.0];[51625, 4428, 4996, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56053, 0, 4996, 4487, 0]
ctslice0_3.nii;[56696.0, 2661.0, 4193.0, 1986.0, 0.0];[51625, 4428, 4996, 4487, 0];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487, 0]
ctslice1000_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1000_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1000_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1001_1.nii;[61077.0, 4459.0, 0.0, 0.0, 0.0];[61108, 4428, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1001_2.nii;[61077.0, 4459.0, 0.0, 0.0, 0.0];[61108, 4428, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1001_3.nii;[61077.0, 4459.0, 0.0, 0.0, 0.0];[61108, 4428, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1002_1.nii;[57927.0, 2001.0, 0.0, 3951.0, 1657.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[52347, 0, 4996, 4487, 3706]
ctslice1002_2.nii;[57927.0, 2001.0, 0.0, 3951.0, 1657.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[52347, 0, 4996, 4487, 3706]
ctslice1002_3.nii;[57927.0, 2001.0, 0.0, 3951.0, 1657.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1003_1.nii;[46976.0, 4275.0, 0.0, 6307.0, 7978.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1003_2.nii;[46976.0, 4275.0, 0.0, 6307.0, 7978.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1003_3.nii;[46976.0, 4275.0, 0.0, 6307.0, 7978.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1004_1.nii;[54103.0, 3869.0, 0.0, 3189.0, 4375.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1004_2.nii;[54103.0, 3869.0, 0.0, 3189.0, 4375.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1004_3.nii;[54103.0, 3869.0, 0.0, 3189.0, 4375.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1005_1.nii;[60177.0, 0.0, 5359.0, 0.0, 0.0];[60540, 0, 4996, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56053, 0, 4996, 4487, 0]
ctslice1005_2.nii;[60177.0, 0.0, 5359.0, 0.0, 0.0];[60540, 0, 4996, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56053, 0, 4996, 4487, 0]
ctslice1005_3.nii;[60177.0, 0.0, 5359.0, 0.0, 0.0];[60540, 0, 4996, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56053, 0, 4996, 4487, 0]
ctslice1006_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1006_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1006_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1007_1.nii;[63694.0, 1329.0, 0.0, 513.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1007_2.nii;[63694.0, 1329.0, 0.0, 513.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1007_3.nii;[63694.0, 1329.0, 0.0, 513.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1008_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1008_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1008_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1009_1.nii;[49459.0, 3713.0, 0.0, 6146.0, 6218.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[57402, 4428, 0, 0, 3706]
ctslice1009_2.nii;[49459.0, 3713.0, 0.0, 6146.0, 6218.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[47919, 4428, 4996, 4487, 3706]
ctslice1009_3.nii;[49459.0, 3713.0, 0.0, 6146.0, 6218.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[52915, 4428, 0, 4487, 3706]
ctslice100_1.nii;[57755.0, 0.0, 7781.0, 0.0, 0.0];[60540, 0, 4996, 0, 0];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487, 0]
ctslice100_2.nii;[57755.0, 0.0, 7781.0, 0.0, 0.0];[60540, 0, 4996, 0, 0];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487, 0]
ctslice100_3.nii;[57755.0, 0.0, 7781.0, 0.0, 0.0];[60540, 0, 4996, 0, 0];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487, 0]
ctslice1010_1.nii;[46741.0, 4992.0, 0.0, 6930.0, 6873.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1010_2.nii;[46741.0, 4992.0, 0.0, 6930.0, 6873.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1010_3.nii;[46741.0, 4992.0, 0.0, 6930.0, 6873.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1011_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1011_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1011_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1012_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1012_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1012_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1013_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1013_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1013_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1014_1.nii;[44696.0, 6266.0, 0.0, 5890.0, 8684.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1014_2.nii;[44696.0, 6266.0, 0.0, 5890.0, 8684.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1014_3.nii;[44696.0, 6266.0, 0.0, 5890.0, 8684.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1015_1.nii;[57829.0, 3577.0, 0.0, 1122.0, 3008.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1015_2.nii;[57829.0, 3577.0, 0.0, 1122.0, 3008.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1015_3.nii;[57829.0, 3577.0, 0.0, 1122.0, 3008.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1016_1.nii;[59878.0, 2296.0, 0.0, 3362.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1016_2.nii;[59878.0, 2296.0, 0.0, 3362.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1016_3.nii;[59878.0, 2296.0, 0.0, 3362.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1017_1.nii;[53188.0, 5411.0, 0.0, 6937.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1017_2.nii;[53188.0, 5411.0, 0.0, 6937.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1017_3.nii;[53188.0, 5411.0, 0.0, 6937.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487, 0]
ctslice1018_1.nii;[58632.0, 2149.0, 298.0, 3154.0, 1303.0];[47919, 4428, 4996, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56053, 0, 4996, 4487, 0]
ctslice1018_2.nii;[58632.0, 2149.0, 298.0, 3154.0, 1303.0];[47919, 4428, 4996, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1018_3.nii;[58632.0, 2149.0, 298.0, 3154.0, 1303.0];[47919, 4428, 4996, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[61049, 0, 0, 4487, 0]
ctslice1019_1.nii;[62798.0, 1683.0, 0.0, 1055.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1019_2.nii;[62798.0, 1683.0, 0.0, 1055.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1019_3.nii;[62798.0, 1683.0, 0.0, 1055.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice101_1.nii;[56947.0, 3333.0, 0.0, 5043.0, 213.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice101_2.nii;[56947.0, 3333.0, 0.0, 5043.0, 213.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice101_3.nii;[56947.0, 3333.0, 0.0, 5043.0, 213.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
ctslice1020_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1020_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1020_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1021_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1021_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1021_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1022_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1022_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1022_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1023_1.nii;[61669.0, 1207.0, 1734.0, 387.0, 539.0];[47919, 4428, 4996, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1023_2.nii;[61669.0, 1207.0, 1734.0, 387.0, 539.0];[47919, 4428, 4996, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1023_3.nii;[61669.0, 1207.0, 1734.0, 387.0, 539.0];[47919, 4428, 4996, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1024_1.nii;[52740.0, 7061.0, 0.0, 2913.0, 2822.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56834, 0, 4996, 0, 3706]
ctslice1024_2.nii;[52740.0, 7061.0, 0.0, 2913.0, 2822.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[61830, 0, 0, 0, 3706]
ctslice1024_3.nii;[52740.0, 7061.0, 0.0, 2913.0, 2822.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1025_1.nii;[58936.0, 385.0, 6215.0, 0.0, 0.0];[56112, 4428, 4996, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1025_2.nii;[58936.0, 385.0, 6215.0, 0.0, 0.0];[56112, 4428, 4996, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1025_3.nii;[58936.0, 385.0, 6215.0, 0.0, 0.0];[56112, 4428, 4996, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
